Player;Yearly Salary;Age;Position;Nationality
Alessandro Florenzi;4888000;30;D/WB/AM R;Italy
Tiémoué Bakayoko;4836000;26;DM;France
Ante Rebic;4680000;27;AM L, ST;Croatia
Olivier Giroud;4472000;34;ST;France
Franck Kessié;3588000;24;DM;Ivory Coast
Mike Maignan;3588000;26;GK;France
Andrea Conti;3328000;27;D/WB/M R;Italy
Davide Calabria;3276000;24;D/WB RL;Italy
Fikayo Tomori;2704000;23;D C;England
Ismael Bennacer;2444000;23;DM;Algeria
Samu Castillejo;2288000;26;AM RLC;Spain
Sandro Tonali;1820000;21;DM;Italy
Theo Hernández;1768000;23;D/WB/M L;France
Rafael Leão;1716000;22;AM LC, F C;Portugal
Rade Krunic;1612000;27;AM C;Bosnia & Herzegovina
Antonio Mirante;1560000;38;GK;Italy
Alexis Saelemaekers;1456000;22;WB/AM R;Belgium
Simon Kjaer;1456000;32;D C;Denmark
Ciprian Tatarusanu;1456000;35;GK;Romania
Fodé Ballo-Touré;1404000;24;D/WB/M L;Senegal
Pietro Pellegri;988000;20;ST;Italy
Matteo Gabbia;884000;21;D C;Italy
Pierre Kalulu;728000;21;D RC;France
Alessandro Plizzari;494000;21;GK;Italy
Daniel Maldini;488800;19;AM RLC;Italy
Junior Messias;161200;30;AM RC, F C;Brazil
Lenny Borges;50440;20;D/WB R;Germany
Álvaro Odriozola;5460000;25;D/WB R;Spain
Lucas Torreira;3900000;25;DM;Uruguay
Nikola Milenkovic;3900000;23;D RC;Serbia
José Callejón;3484000;34;AM R;Spain
Nicolás González;3172000;23;AM RL, ST;Argentina
Alexandr Kokorin;2496000;30;AM RC, F C;Russia
Giacomo Bonaventura;2444000;31;AM LC;Italy
Gaetano Castrovilli;2288000;24;AM C;Italy
Alfred Duncan;2236000;28;DM;Ghana
Matija Nastasic;2184000;28;D C;Serbia
Erick Pulgar;2184000;27;DM;Chile
Cristiano Biraghi;2028000;28;D/WB/M L;Italy
Sofyan Amrabat;1820000;24;DM;Morocco
Marco Benassi;1664000;26;AM C;Italy
Riccardo Saponara;1456000;29;AM LC, F C;Italy
Bartlomiej Dragowski;1404000;23;GK;Poland
Lucas Martínez Quarta;1300000;25;D C;Argentina
Igor;988000;23;D LC;Brazil
Youssef Maleh;884000;22;DM, AM LC;Morocco
Riccardo Sottil;832000;22;AM RL;Italy
Lorenzo Venuti;624000;26;D RLC, M R;Italy
Aleksa Terzic;494000;21;D/WB/M L;Serbia
Pietro Terracciano;457600;31;GK;Italy
Antonio Rosati;286000;38;GK;Italy
Martin Graiciar;150800;22;AM R, ST;Czech Republic
Michele Cerofolini;150800;22;GK;Italy
Federico Brancolini;67600;19;GK;Italy
Jakob Vadstrup;57200;17;D L;Denmark
Louis Munteanu;52000;19;ST;Romania
Mattia Trovato;42640;23;AM RC;Italy
Lorenzo Pellegrini;6344000;25;AM C;Italy
Tammy Abraham;5824000;23;ST;England
Stephan El Shaarawy;5512000;28;AM RL;Italy
Chris Smalling;5044000;31;D C;England
Leonardo Spinazzola;4732000;28;D/WB/M L;Italy
Jordan Veretout;4732000;28;DM;France
Henrikh Mkhitaryan;4576000;32;AM RLC;Armenia
Amadou Diawara;4108000;23;DM;Guinea
Federico Fazio;4056000;34;D C;Argentina
Nicolò Zaniolo;3900000;22;AM RLC;Italy
Rui Patrício;3796000;33;GK;Portugal
Gianluca Mancini;3224000;25;D C;Italy
Bryan Cristante;3016000;26;DM;Italy
Rick Karsdorp;2756000;26;D/WB R;Holland
Carles Pérez;2704000;23;AM RLC;Spain
Davide Santon;2496000;30;D/WB RL;Italy
Ainsley Maitland-Niles;2496000;23;D/WB RL, DM;England
Ibanez;2444000;22;D C;Brazil
Eldor Shomurodov;2028000;26;AM L, ST;Uzbekistan
Gonzalo Villar;1612000;23;DM;Spain
Matías Viña;1612000;23;D/WB L;Uruguay
Marash Kumbulla;1508000;21;D C;Albania
Borja Mayoral;988000;24;ST;Spain
Riccardo Calafiori;988000;19;D/WB/M L;Italy
Alessio Riccardi;936000;20;AM C;Italy
Daniel Fuzato;884000;24;GK;Brazil
Bryan Reynolds;286000;20;D/WB R;U.S.A.
Edoardo Bove;171600;19;DM;Italy
Nicola Zalewski;150800;19;AM RLC;Poland
Ebrima Darboe;119600;20;DM;The Gambia
Mattia Caldara;3432000;27;D C;Italy
Sergio Romero;1612000;34;GK;Argentina
Dor Peretz;1508000;26;DM;Israel
Jacopo Dezi;1352000;29;AM C;Italy
Arnór Sigurosson;988000;22;AM RLC;Iceland
Francesco Forte;780000;28;ST;Italy
